Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score
18,22/02/2019 16:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,122,125
18,23/02/2019 16:00,State Farm Arena,Atlanta Hawks,Phoenix Suns,120,112
18,25/02/2019 17:00,Toyota Center,Houston Rockets,Atlanta Hawks,119,111
18,27/02/2019 16:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,131,123
19,01/03/2019 16:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,161,168
19,03/03/2019 12:30,United Center,Chicago Bulls,Atlanta Hawks,118,123
19,04/03/2019 16:30,American Airlines Arena,Miami Heat,Atlanta Hawks,114,113
19,06/03/2019 16:30,State Farm Arena,Atlanta Hawks,San Antonio Spurs,104,111
20,09/03/2019 16:00,State Farm Arena,Atlanta Hawks,Brooklyn Nets,112,114
20,10/03/2019 15:00,State Farm Arena,Atlanta Hawks,New Orleans Pelicans,128,116
20,13/03/2019 16:30,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,132,111
21,16/03/2019 09:30,TD Garden,Boston Celtics,Atlanta Hawks,129,120
21,17/03/2019 15:00,Amway Center,Orlando Magic,Atlanta Hawks,101,91
21,19/03/2019 16:30,State Farm Arena,Atlanta Hawks,Houston Rockets,105,121
21,21/03/2019 16:30,State Farm Arena,Atlanta Hawks,Utah Jazz,117,114
22,23/03/2019 16:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,129,127
22,26/03/2019 17:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,120,130
23,29/03/2019 16:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,98,118
23,31/03/2019 09:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,136,135
23,02/04/2019 17:30,AT&T Center,San Antonio Spurs,Atlanta Hawks,117,111
23,03/04/2019 16:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,130,122
24,05/04/2019 16:00,Amway Center,Orlando Magic,Atlanta Hawks,149,113
24,07/04/2019 16:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,115,107
24,10/04/2019 17:00,State Farm Arena,Atlanta Hawks,Indiana Pacers,134,135
